name;element1;element2;elment3;elment4;elment5;elment6;elment7;elment8;elment9;elment10;sum
Korean_Air_Airbus_A330-300_V2_new_plane585;9;7;0;0;0;0;0;0;0;0;16
Korean_Air_Airbus_A380-800_plane586;13;12;1;0;0;0;0;0;0;0;26
Korean_Air_Boeing_737-800_A_plane601;3;3;0;0;0;0;0;0;0;0;6
Korean_Air_Boeing_737-800_B_plane602;3;6;0;0;0;0;0;0;0;0;9
Korean_Air_Boeing_737-900_plane603;3;4;0;0;0;0;0;0;0;0;7
Korean_Air_Boeing_737-900_ER_plane604;4;6;0;0;0;0;0;0;0;0;10
Korean_Air_Boeing_747-400_plane588;14;10;0;0;0;0;0;0;0;0;24
Korean_Air_Boeing_747-400_B_plane589;14;10;0;0;0;0;0;0;0;0;24
Korean_Air_Boeing_747-400_C_plane590;14;10;0;0;0;0;0;0;0;0;24
Korean_Air_Boeing_747-400_D_plane592;14;10;0;0;0;0;0;0;0;0;24
Korean_Air_Boeing_747-400_E_plane591;14;10;0;0;0;0;0;0;0;0;24
Korean_Air_Boeing_747-8I_plane593;11;9;0;0;0;0;0;0;0;0;20
Korean_Air_Boeing_777-200ER_A_plane595;10;7;0;0;0;0;0;0;0;0;17
Korean_Air_Boeing_777-200ER_V2_plane594;10;9;0;0;0;0;0;0;0;0;19
Korean_Air_Boeing_777-300_plane596;12;9;0;0;0;0;0;0;0;0;21
Korean_Air_Boeing_777-300ER_V1_plane597;8;4;0;0;0;0;0;0;0;0;12
Air_France_Boeing_777-300ER_Four_Class_V2_plane73.svg;11;12;10;11;0;0;0;0;0;0;44
Air_France_Boeing_777-300ER_Four_Class_V3_plane74.svg;10;3;10;2;0;0;0;0;0;0;25
Air_France_Boeing_777-300_D_plane75.svg;9;5;10;0;0;0;0;0;0;0;24
Air_France_Boeing_777-300_E_plane72.svg;10;7;10;0;0;0;0;0;0;0;27
Air_France_Boeing_787-9_plane76.svg;7;11;8;1;0;0;0;0;0;0;27
Air_France_CRJ-1000_plane89.svg;2;1;6;1;0;0;0;0;0;0;10
Air_France_CRJ-700_plane90.svg;1;1;4;0;0;0;0;0;0;0;6
Air_France_EmbraerERJ-145_plane91.svg;1;1;6;1;0;0;0;0;0;0;9
Air_France_EmbraerERJ-170_plane86.svg;2;1;3;0;0;0;0;0;0;0;6
Air_France_EmbraerERJ-190_plane87.svg;2;1;6;0;0;0;0;0;0;0;9
air-india_Airbus_A319_V1_plane99.svg;3;2;6;0;0;0;0;0;0;0;11
air-india_Airbus_A319_V2_plane100.svg;3;2;6;0;0;0;0;0;0;0;11
air-india_Airbus_A320_V1_plane101.svg;3;2;6;0;0;0;0;0;0;0;11
air-india_Airbus_A320_V2_plane102.svg;3;2;8;0;0;0;0;0;0;0;13
air-india_Boeing_747-400_plane95.svg;13;15;12;0;0;0;0;0;0;0;40
air-india_Boeing_777-200LR_plane96.svg;9;12;8;4;0;0;0;0;0;0;33
air-india_Boeing_777-300ER_plane97.svg;10;12;10;2;0;0;0;0;0;0;34
air-india_Boeing_787-8_plane98.svg;6;9;8;0;0;0;0;0;0;0;23
air-india-express_Boeing737-800_V2_plane104.svg;3;3;8;0;0;0;0;0;0;0;14
air-italy_IGAirbus_A330-200_plane105.svg;5;6;8;0;0;0;0;0;0;0;19
air-italy_IGBoeing737_MAX8_plane106.svg;3;4;8;0;0;0;0;0;0;0;15
air-namibia_AirbusA319_plane108.svg;3;2;8;0;0;0;0;0;0;0;13
air-namibia_AirbusA330-200_plane107.svg;7;4;8;0;0;0;0;0;0;0;19
air-namibia_EmbraerERJ-135_plane109.svg;2;2;4;0;0;0;0;0;0;0;8
air-new-zealand_AerospatialeATR72_plane116.svg;1;0;4;3;0;0;0;0;0;0;8
air-new-zealand_AirbusA320_plane115.svg;3;2;8;0;0;0;0;0;0;0;13
air-new-zealand_AirbusA320D_plane114.svg;2;2;8;0;0;0;0;0;0;0;12
air-new-zealand_Boeing777-200_NL_plane110.svg;10;9;8;0;0;0;0;0;0;0;27
air-new-zealand_Boeing777-300_V2_plane111.svg;11;8;10;0;0;0;0;0;0;0;29
air-new-zealand_Boeing_787-9_plane112.svg;5;9;8;0;0;0;0;0;0;0;22
air-new-zealand_Boeing_787-9V2_plane113.svg;0;0;8;0;0;0;0;0;0;0;8
air-new-zealand_Q300_plane117.svg;1;1;4;4;0;0;0;0;0;0;10
air-serbia_A330-200_A_plane118.svg;8;7;8;0;0;0;0;0;0;0;23
air-serbia_Airbus_A319-100_A_plane119.svg;3;2;6;0;0;0;0;0;0;0;11
air-serbia_Airbus_A320-200A_plane120.svg;3;2;8;0;0;0;0;0;0;0;13
air-serbia_ATR_72-200A_plane122.svg;1;1;4;2;0;0;0;0;0;0;8
air-serbia_ATR_72-500A_plane123.svg;0;0;4;0;0;0;0;0;0;0;4
air-serbia_Boeing_737-300_plane121.svg;0;0;0;0;0;0;0;0;0;0;0
air-tahiti-nui_Airbus_A340-300_plane124.svg;3;4;4;0;0;0;0;0;0;0;11
air-tahiti-nui_TN_Boeing_787-9_plane125.svg;8;11;8;1;0;0;0;0;0;0;28
air-transat_Airbus_A310-300_plane126.svg;4;1;6;0;0;0;0;0;0;0;11
air-transat_Airbus_A330-200_V2_plane127.svg;7;0;8;0;0;0;0;0;0;0;15
air-transat_Airbus_A330-300_V3_plane129.svg;7;3;8;0;0;0;0;0;0;0;18
air-transat_Boeing_737-700_plane130.svg;3;1;6;0;0;0;0;0;0;0;10
air-transat_Boeing_737-800_V1_International_plane131.svg;3;0;8;0;0;0;0;0;0;0;11
air-transat_Boeing_737-800V2Domestic_plane132.svg;3;0;8;0;0;0;0;0;0;0;11
air-vanuatu_ATR_72-600_plane134.svg;1;1;4;0;0;0;0;0;0;0;6
air-vanuatu_Boeing_737-800_plane133.svg;3;3;8;0;0;0;0;0;0;0;14
alaska-airlines_Airbus_A319_plane141.svg;3;2;6;0;0;0;0;0;0;0;11
alaska-airlines_Airbus_A320_V1_plane142.svg;3;2;8;0;0;0;0;0;0;0;13
alaska-airlines_Airbus_A320_V2_plane143.svg;3;2;4;0;0;0;0;0;0;0;9
alaska-airlines_Airbus_A321neo_plane144.svg;4;2;8;0;0;0;0;0;0;0;14
alaska-airlines_Boeing_737-700_plane145.svg;3;3;8;1;0;0;0;0;0;0;15
alaska-airlines_Boeing_737-800_E_plane146.svg;6;2;8;0;0;0;0;0;0;0;16
alaska-airlines_Boeing_737-900_C_new_plane147.svg;4;4;8;0;0;0;0;0;0;0;16
alaska-airlines_Boeing_737-900_D_plane148.svg;4;3;8;0;0;0;0;0;0;0;15
alaska-airlines_Canadair_CRJ700_plane150.svg;1;1;4;0;0;0;0;0;0;0;6
alaska-airlines_Embraer_E175_plane149.svg;2;2;2;0;0;0;0;0;0;0;6
alaska-airlines_Q400_plane151.svg;1;1;4;0;0;0;0;0;0;0;6
alitalia_Airlines_Airbus_A319_B_new_plane154.svg;3;2;6;0;0;0;0;0;0;0;11
alitalia_Airlines_Airbus_A320_plane155.svg;3;3;8;0;0;0;0;0;0;0;14
alitalia_Airlines_Airbus_A320_B_new_plane156.svg;3;3;8;0;0;0;0;0;0;0;14
Oman_Air_Boeing_787-9_plane684.png;10;8;0;0;0;0;0;0;0;0;18
PIA_Pakistan_International_Airlines_Airbus_A320-200_V1_plane693;3;2;0;0;0;0;0;0;0;0;5
PIA_Pakistan_International_Airlines_Airbus_A320-200_V2_plane694;3;2;0;0;0;0;0;0;0;0;5
PIA_Pakistan_International_Airlines_ATR_42-500A_plane695;1;1;0;0;0;0;0;0;0;0;2
PIA_Pakistan_International_Airlines_Boeing_777-200ER_V1_plane689;11;10;3;0;0;0;0;0;0;0;24
PIA_Pakistan_International_Airlines_Boeing_777-200ER_V2_plane690;12;10;0;0;0;0;0;0;0;0;22
PIA_Pakistan_International_Airlines_Boeing_777-200LR_plane691;10;11;2;0;0;0;0;0;0;0;23
PIA_Pakistan_International_Airlines_Boeing_777-300ER_plane692;12;14;4;0;0;0;0;0;0;0;30
Peach_Airbus_A320-200_plane697;3;0;0;0;0;0;0;0;0;0;3
Pegasus_Airlines_Airbus_A320-200_plane698;3;2;0;0;0;0;0;0;0;0;5
